Plant No.,Species,Habitat,Flower Color,Leaf Shape,Growth Form,Leaf Area (cm²),Photosynthetic Rate (µmol CO₂ m⁻² s⁻¹),Plant Height (cm),Stem Diameter (cm),Chlorophyll Content (SPAD)
1,Species B,Forest,White,Cordate,Shrub,34.0,13.78,125.4,1.25,37.03
2,Species B,Grassland,Yellow,Cordate,Shrub,28.9,13.25,128.4,1.33,42.0
3,Species C,Forest,Yellow,Ovate,Herb,35.2,15.22,136.2,1.72,45.03
4,Species C,Wetland,White,Ovate,Tree,42.2,16.86,135.8,1.68,45.23
5,Species A,Forest,Blue,Ovate,Herb,28.1,13.27,99.3,1.49,42.75
6,Species B,Forest,Yellow,Lanceolate,Tree,28.1,13.83,105.9,1.54,48.11
7,Species A,Grassland,Red,Lanceolate,Shrub,42.6,19.67,127.7,1.88,39.66
8,Species A,Grassland,Blue,Cordate,Tree,36.1,16.0,127.7,1.32,44.29
9,Species A,Wetland,Yellow,Lanceolate,Shrub,26.2,13.12,127.7,1.66,45.6
10,Species A,Forest,Yellow,Lanceolate,Tree,34.3,15.22,177.8,1.44,47.57
11,Species B,Forest,Red,Lanceolate,Tree,26.3,10.97,128.6,1.43,48.56
12,Species A,Forest,Red,Ovate,Tree,26.3,12.86,137.0,1.83,39.38
13,Species B,Wetland,White,Ovate,Herb,31.9,14.63,134.3,1.75,37.33
14,Species B,Wetland,Blue,Cordate,Herb,14.7,11.87,129.8,1.74,51.39
15,Species C,Grassland,Blue,Lanceolate,Shrub,16.2,9.67,115.3,1.89,46.66
16,Species B,Grassland,White,Lanceolate,Shrub,25.5,12.95,131.4,1.51,41.26
17,Species C,Grassland,Blue,Cordate,Herb,21.9,11.54,108.4,1.7,52.76
18,Species B,Forest,Blue,Lanceolate,Shrub,32.5,13.58,116.4,1.41,45.58
19,Species B,Forest,Blue,Lanceolate,Herb,22.7,12.95,112.7,1.6,50.9
20,Species B,Grassland,Blue,Ovate,Tree,18.7,11.36,121.2,1.46,45.34
21,Species C,Forest,Blue,Cordate,Shrub,41.7,18.3,154.7,1.53,55.3
22,Species C,Grassland,Red,Cordate,Shrub,28.2,12.55,92.0,1.68,53.78
23,Species A,Wetland,Blue,Cordate,Herb,30.5,15.55,130.3,1.25,43.76
24,Species C,Grassland,Red,Cordate,Shrub,18.6,9.18,95.8,2.13,49.86
25,Species C,Wetland,Blue,Ovate,Shrub,25.6,13.27,112.9,1.2,48.23
26,Species C,Forest,White,Ovate,Tree,30.9,16.46,136.3,1.14,51.84
27,Species C,Grassland,Yellow,Lanceolate,Shrub,20.8,10.25,121.0,1.85,40.18
28,Species A,Forest,Red,Lanceolate,Tree,33.0,14.33,103.8,1.74,48.43
29,Species C,Wetland,Blue,Lanceolate,Herb,25.2,12.66,109.3,1.69,50.29
30,Species B,Wetland,White,Lanceolate,Shrub,27.7,12.81,130.2,1.69,36.21
31,Species B,Wetland,Yellow,Ovate,Tree,25.2,11.01,109.0,1.5,39.08
32,Species C,Forest,Red,Cordate,Herb,44.8,18.51,123.2,1.23,34.8
33,Species C,Forest,Yellow,Ovate,Shrub,29.9,12.91,120.7,1.52,43.65
34,Species B,Forest,White,Lanceolate,Herb,21.5,11.92,110.2,1.3,48.59
35,Species B,Forest,Red,Ovate,Shrub,36.6,15.06,152.2,1.79,52.51
36,Species A,Wetland,Yellow,Cordate,Herb,20.2,12.61,129.5,1.46,45.37
37,Species B,Wetland,Blue,Cordate,Herb,31.7,13.73,89.6,1.25,53.14
38,Species B,Grassland,Red,Ovate,Tree,14.3,8.97,122.8,1.4,38.1
39,Species C,Grassland,Yellow,Ovate,Herb,19.4,11.63,110.1,1.62,36.48
40,Species B,Forest,White,Ovate,Shrub,31.6,13.25,132.8,1.33,44.72
41,Species A,Wetland,White,Lanceolate,Shrub,35.9,16.0,108.1,1.25,46.92
42,Species B,Wetland,Red,Ovate,Tree,31.4,15.73,118.3,1.57,44.84
43,Species C,Wetland,Yellow,Ovate,Shrub,29.1,12.12,127.6,1.57,34.66
44,Species C,Grassland,Red,Ovate,Shrub,27.6,13.46,133.0,1.35,44.55
45,Species B,Grassland,Red,Cordate,Shrub,18.2,10.72,102.0,1.36,38.48
46,Species C,Wetland,Yellow,Cordate,Herb,24.2,13.04,115.0,1.57,48.35
47,Species A,Wetland,Yellow,Lanceolate,Herb,26.3,11.65,112.9,1.07,46.83
48,Species A,Wetland,Blue,Lanceolate,Shrub,38.5,15.23,110.2,1.08,40.3
49,Species B,Grassland,Yellow,Cordate,Tree,32.7,15.33,146.5,1.28,42.43
50,Species B,Wetland,White,Cordate,Herb,15.9,10.07,126.1,1.44,39.7
51,Species B,Wetland,Red,Cordate,Tree,32.6,15.03,101.1,1.59,44.69
52,Species C,Forest,Red,Ovate,Shrub,26.9,13.42,133.8,1.94,49.78
53,Species A,Forest,White,Ovate,Shrub,24.6,11.7,151.8,1.76,40.07
54,Species A,Grassland,Yellow,Cordate,Herb,34.9,15.7,135.5,1.45,47.52
55,Species C,Wetland,White,Ovate,Shrub,38.2,16.75,97.2,1.49,42.35
56,Species A,Wetland,White,Ovate,Herb,37.5,15.54,112.7,1.2,41.04
57,Species B,Forest,Blue,Lanceolate,Shrub,23.3,13.86,139.0,1.49,44.46
58,Species B,Grassland,White,Cordate,Shrub,27.5,13.72,109.4,1.41,39.82
59,Species B,Forest,Red,Cordate,Herb,32.7,13.62,126.7,1.6,42.23
60,Species A,Forest,White,Ovate,Herb,37.8,17.0,131.6,1.25,39.01
61,Species B,Forest,Red,Cordate,Herb,26.2,11.89,106.1,1.66,54.82
62,Species C,Forest,Red,Lanceolate,Shrub,28.5,14.34,119.1,1.96,45.18
63,Species C,Wetland,Red,Lanceolate,Shrub,21.1,12.49,71.4,1.47,41.5
64,Species A,Wetland,Yellow,Lanceolate,Tree,20.4,10.3,104.6,1.62,46.07
65,Species C,Forest,Blue,Cordate,Herb,36.5,16.91,116.2,1.71,44.44
66,Species C,Grassland,Red,Cordate,Shrub,40.8,17.65,101.3,1.38,43.9
67,Species A,Grassland,Red,Cordate,Shrub,29.4,14.64,144.5,1.57,48.07
68,Species B,Grassland,Yellow,Cordate,Herb,38.0,18.3,98.5,1.5,48.79
69,Species B,Grassland,Red,Cordate,Tree,32.9,14.62,113.4,1.53,42.35
70,Species B,Forest,White,Lanceolate,Herb,24.8,11.69,122.0,1.27,42.12
71,Species A,Wetland,White,Ovate,Tree,32.9,13.98,141.6,1.51,43.62
72,Species C,Grassland,Blue,Lanceolate,Shrub,42.3,16.87,98.5,1.65,33.49
73,Species B,Forest,Red,Cordate,Tree,29.7,13.83,137.4,1.94,37.42
74,Species B,Grassland,Yellow,Lanceolate,Shrub,42.5,18.09,120.2,1.79,51.83
75,Species A,Grassland,White,Cordate,Herb,9.0,7.98,105.3,2.15,53.22
76,Species B,Forest,Yellow,Cordate,Herb,36.6,16.81,126.9,1.27,43.75
77,Species A,Wetland,Yellow,Lanceolate,Herb,30.7,14.22,123.0,1.76,47.88
78,Species C,Wetland,White,Cordate,Tree,27.6,14.73,111.0,1.56,46.56
79,Species A,Forest,Yellow,Ovate,Shrub,30.7,13.95,121.0,2.16,60.39
80,Species A,Wetland,White,Cordate,Herb,14.1,11.95,114.2,1.26,50.6
81,Species A,Forest,Yellow,Ovate,Herb,28.2,14.09,121.7,1.25,44.36
82,Species A,Forest,White,Ovate,Shrub,32.9,14.01,129.9,1.32,40.22
83,Species C,Forest,Red,Cordate,Herb,41.8,16.47,143.8,0.86,36.97
84,Species C,Wetland,Blue,Lanceolate,Shrub,25.9,13.25,101.4,1.34,46.02
85,Species B,Forest,White,Ovate,Shrub,23.5,11.83,152.0,1.27,41.22
86,Species C,Grassland,White,Lanceolate,Shrub,26.0,13.51,90.7,1.55,37.89
87,Species C,Wetland,Blue,Ovate,Shrub,37.3,16.66,117.7,1.6,41.77
88,Species B,Wetland,White,Cordate,Shrub,32.6,14.71,128.8,2.06,39.59
89,Species C,Wetland,White,Cordate,Tree,25.8,11.89,124.2,1.79,53.44
90,Species A,Wetland,Yellow,Ovate,Herb,34.1,13.72,110.7,1.33,49.41
91,Species A,Grassland,Blue,Cordate,Tree,30.8,13.79,116.9,1.23,44.96
92,Species B,Wetland,Red,Ovate,Herb,37.7,17.17,112.6,1.65,52.4
93,Species B,Wetland,White,Cordate,Tree,24.4,12.53,111.2,1.1,45.39
94,Species B,Forest,Blue,Lanceolate,Shrub,27.4,11.97,132.7,2.05,40.69
95,Species A,Wetland,Yellow,Cordate,Herb,26.9,13.24,125.4,1.85,52.62
96,Species C,Grassland,Red,Lanceolate,Herb,18.3,10.88,109.6,1.36,47.69
97,Species A,Grassland,Blue,Cordate,Tree,32.4,13.84,133.5,0.99,39.81
98,Species B,Grassland,Red,Lanceolate,Tree,32.1,14.78,124.6,1.91,44.05
99,Species C,Grassland,Red,Cordate,Herb,30.0,14.06,132.2,1.47,40.62
100,Species C,Wetland,Red,Lanceolate,Tree,28.1,12.29,129.4,1.87,38.09
